epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2654.33,1.09169,0.6429,1.02729,0.88058,0.77209,0.86454,0.59664,1.005,0.5921,1.02831,0.00098525,0.00098525,0.00098525
43,2717.19,1.0569,0.61792,1.01875,0.89058,0.77619,0.87323,0.59529,1.01445,0.58644,1.0299,0.0009605,0.0009605,0.0009605
44,2780.13,1.07431,0.62397,1.02698,0.88731,0.75712,0.85829,0.57399,1.04727,0.61158,1.04447,0.00093575,0.00093575,0.00093575
45,2842.49,1.0746,0.63247,1.02639,0.89619,0.75818,0.86045,0.57942,1.06264,0.59704,1.05363,0.000911,0.000911,0.000911
46,2905.68,1.05906,0.62801,1.01173,0.88748,0.77132,0.86962,0.59441,1.00798,0.58093,1.02898,0.00088625,0.00088625,0.00088625
47,2969.39,1.05994,0.61659,1.01738,0.91202,0.75503,0.86939,0.60036,0.99529,0.56655,1.03015,0.0008615,0.0008615,0.0008615
48,3033.82,1.07066,0.61933,1.01956,0.91316,0.76841,0.87494,0.61093,0.97561,0.56791,1.02047,0.00083675,0.00083675,0.00083675
49,3097.55,1.06875,0.60896,1.01438,0.89756,0.77455,0.86644,0.60204,0.98996,0.57654,1.02084,0.000812,0.000812,0.000812
50,3162.25,1.04399,0.6079,1.01594,0.8941,0.76064,0.86369,0.58862,1.02815,0.57571,1.03714,0.00078725,0.00078725,0.00078725
51,3226.54,1.04285,0.61126,1.00413,0.89832,0.77209,0.87177,0.59763,1.00362,0.56803,1.0258,0.0007625,0.0007625,0.0007625
52,3290.68,1.04296,0.59477,1.00606,0.90871,0.78355,0.88031,0.60671,0.98673,0.55051,1.01037,0.00073775,0.00073775,0.00073775
53,3354.63,1.03889,0.59988,1.00881,0.89139,0.77291,0.86796,0.59062,1.01461,0.56493,1.02648,0.000713,0.000713,0.000713
54,3418.61,1.04544,0.59882,1.01279,0.91118,0.76392,0.87099,0.59571,1.0123,0.56903,1.02454,0.00068825,0.00068825,0.00068825
55,3482.37,1.0413,0.59572,1.00951,0.8873,0.78478,0.87266,0.60058,1.00746,0.56891,1.028,0.0006635,0.0006635,0.0006635
56,3546.1,1.01681,0.58971,1.00795,0.90743,0.77811,0.87927,0.60523,0.99527,0.55622,1.02755,0.00063875,0.00063875,0.00063875
57,3610.85,1.01934,0.58388,1.00896,0.90679,0.76427,0.87273,0.6067,0.97089,0.55773,1.02046,0.000614,0.000614,0.000614
58,3674.81,1.02325,0.57926,0.99959,0.89543,0.78131,0.87249,0.59969,1.00161,0.55934,1.03119,0.00058925,0.00058925,0.00058925
59,3738.49,1.01946,0.58167,0.99956,0.91295,0.77782,0.87802,0.60534,0.98365,0.54963,1.02085,0.0005645,0.0005645,0.0005645
60,3802.25,1.01613,0.5715,1.00178,0.90008,0.77769,0.87692,0.6074,1.00415,0.5512,1.02982,0.00053975,0.00053975,0.00053975
61,3866.32,1.00818,0.56855,0.99612,0.89625,0.79746,0.88407,0.61776,0.98125,0.54183,1.01173,0.000515,0.000515,0.000515
62,3930.07,1.02756,0.57459,1.00335,0.9079,0.77041,0.875,0.60323,0.99474,0.55138,1.02608,0.00049025,0.00049025,0.00049025
