epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3828,3.40446,7.04438,2.88525,0.50976,0.42928,0.40428,0.16629,2.17111,2.36911,1.77332,0.000663946,0.000663946,0.000663946
2,70.8507,2.06114,1.74787,1.55384,0.71918,0.47422,0.53118,0.22879,2.04713,2.24133,1.54934,0.00124279,0.00124279,0.00124279
3,104.689,1.79844,1.3159,1.36118,0.753,0.52987,0.61877,0.31699,1.7478,1.21821,1.34161,0.00173364,0.00173364,0.00173364
4,139.302,1.64885,1.17004,1.28896,0.80253,0.59861,0.68448,0.37635,1.57221,1.06599,1.27527,0.001604,0.001604,0.001604
5,174.834,1.59178,1.08145,1.24058,0.80956,0.6293,0.72002,0.40242,1.45483,1.01093,1.21129,0.001472,0.001472,0.001472
6,218.798,1.53345,1.05824,1.26179,0.85078,0.64403,0.73828,0.4178,1.50349,0.94044,1.22096,0.00134,0.00134,0.00134
7,254.261,1.48562,0.9964,1.24626,0.85571,0.66203,0.76983,0.46898,1.32985,0.85755,1.16507,0.001208,0.001208,0.001208
8,290.993,1.43804,0.95088,1.20695,0.84955,0.65835,0.76499,0.45216,1.34703,0.86585,1.16251,0.001076,0.001076,0.001076
9,327.656,1.37717,0.9148,1.18641,0.87179,0.65876,0.77061,0.47675,1.29172,0.8619,1.12687,0.000944,0.000944,0.000944
10,364.447,1.34001,0.87751,1.16871,0.87357,0.68044,0.79179,0.50382,1.21473,0.78802,1.10446,0.000812,0.000812,0.000812
11,401.249,1.33006,0.85972,1.16015,0.84877,0.71358,0.80796,0.52436,1.19171,0.76057,1.09505,0.00068,0.00068,0.00068
12,437.889,1.29593,0.82554,1.14839,0.87324,0.70752,0.81228,0.51313,1.22308,0.72821,1.09794,0.000548,0.000548,0.000548
13,474.682,1.28752,0.81269,1.14494,0.86737,0.69038,0.7939,0.48489,1.26586,0.76462,1.11485,0.000416,0.000416,0.000416
14,511.364,1.24664,0.78238,1.12832,0.87075,0.71809,0.81817,0.51801,1.20745,0.72428,1.0906,0.000284,0.000284,0.000284
15,548.127,1.22527,0.76729,1.11603,0.86669,0.72087,0.81372,0.53562,1.13902,0.7064,1.07741,0.000152,0.000152,0.000152
