epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7882,3.40446,7.04438,2.88525,0.50976,0.42928,0.40428,0.16629,2.17111,2.36911,1.77332,0.000663946,0.000663946,0.000663946
2,97.6619,2.053,1.74501,1.54729,0.77307,0.50982,0.59596,0.29997,1.75026,1.30574,1.42564,0.00126475,0.00126475,0.00126475
3,147.769,1.79348,1.31651,1.35896,0.78176,0.55237,0.6379,0.31646,1.82018,1.20035,1.36954,0.00179955,0.00179955,0.00179955
4,199.874,1.67029,1.19593,1.29661,0.80848,0.59902,0.68865,0.39469,1.49346,1.04512,1.25233,0.001703,0.001703,0.001703
5,254.111,1.59237,1.0841,1.24493,0.84262,0.62807,0.72732,0.43936,1.3689,1.03461,1.18578,0.001604,0.001604,0.001604
6,308.512,1.52561,1.01385,1.20034,0.8455,0.65162,0.74859,0.43188,1.4636,0.93137,1.20425,0.001505,0.001505,0.001505
