epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5164.86,1.17927,0.75205,1.2697,0.91064,0.7464,0.86793,0.5888,1.08815,0.70003,1.31972,0.00098525,0.00098525,0.00098525
43,5313.16,1.15172,0.73544,1.2621,0.90482,0.77987,0.88051,0.60248,1.085,0.6695,1.32128,0.0009605,0.0009605,0.0009605
44,5395.5,1.16105,0.72997,1.26378,0.89047,0.75736,0.86528,0.59144,1.08906,0.71201,1.29889,0.00093575,0.00093575,0.00093575
45,5472.3,1.16085,0.73574,1.26489,0.89029,0.75701,0.86923,0.59106,1.09341,0.68905,1.31824,0.000911,0.000911,0.000911
46,5591.47,1.15221,0.73021,1.25604,0.89047,0.78839,0.88174,0.60823,1.05008,0.66954,1.29311,0.00088625,0.00088625,0.00088625
47,5670.42,1.14543,0.7201,1.25424,0.9002,0.76029,0.87433,0.59777,1.07613,0.67982,1.30019,0.0008615,0.0008615,0.0008615
48,5799.15,1.15779,0.72618,1.25439,0.89936,0.78984,0.88693,0.61333,1.05561,0.6626,1.30393,0.00083675,0.00083675,0.00083675
49,5882.16,1.16014,0.73438,1.25403,0.90458,0.76841,0.87587,0.60733,1.05526,0.66856,1.28993,0.000812,0.000812,0.000812
50,5968.22,1.1359,0.71434,1.24328,0.91087,0.77987,0.88491,0.6088,1.05714,0.65385,1.28865,0.00078725,0.00078725,0.00078725
51,6139.44,1.13758,0.71177,1.23525,0.92038,0.77128,0.8854,0.60873,1.05496,0.65228,1.29106,0.0007625,0.0007625,0.0007625
52,6225.11,1.13641,0.70251,1.23618,0.89808,0.7752,0.88124,0.60343,1.07159,0.66577,1.28307,0.00073775,0.00073775,0.00073775
53,6308.83,1.13613,0.71435,1.24106,0.89541,0.76759,0.873,0.59751,1.065,0.66484,1.29886,0.000713,0.000713,0.000713
54,6383.79,1.13816,0.70697,1.2372,0.91196,0.75868,0.87146,0.59169,1.10179,0.67263,1.3087,0.00068825,0.00068825,0.00068825
55,6470.75,1.13541,0.70054,1.24576,0.89606,0.77782,0.8781,0.60187,1.07006,0.66474,1.29306,0.0006635,0.0006635,0.0006635
