epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1555.07,1.14951,0.6839,1.04938,0.8902,0.75635,0.84918,0.56864,1.08377,0.65073,1.0502,0.00098525,0.00098525,0.00098525
43,1592.34,1.1151,0.66456,1.04053,0.88852,0.76637,0.85481,0.57232,1.07035,0.62364,1.05136,0.0009605,0.0009605,0.0009605
44,1629.33,1.13152,0.66338,1.04763,0.89416,0.75941,0.85499,0.57024,1.0763,0.64201,1.0486,0.00093575,0.00093575,0.00093575
45,1666.91,1.13698,0.68125,1.05134,0.89178,0.77005,0.85671,0.56844,1.09977,0.63346,1.05811,0.000911,0.000911,0.000911
46,1704.34,1.12659,0.66901,1.03676,0.90011,0.75586,0.85675,0.5669,1.0715,0.62187,1.04623,0.00088625,0.00088625,0.00088625
47,1741.38,1.12052,0.6593,1.03743,0.90638,0.75657,0.85789,0.57894,1.04848,0.605,1.03715,0.0008615,0.0008615,0.0008615
48,1778.6,1.12189,0.66022,1.03911,0.91434,0.75998,0.86174,0.58168,1.05345,0.61284,1.04541,0.00083675,0.00083675,0.00083675
49,1815.41,1.12638,0.65612,1.03709,0.88946,0.77369,0.85971,0.58198,1.05626,0.61821,1.04137,0.000812,0.000812,0.000812
50,1852.45,1.10681,0.6546,1.03959,0.90023,0.7605,0.85454,0.56788,1.07557,0.61992,1.05075,0.00078725,0.00078725,0.00078725
51,1890.04,1.10141,0.6538,1.0288,0.90205,0.74509,0.85207,0.5826,1.02849,0.61977,1.03378,0.0007625,0.0007625,0.0007625
52,1927.32,1.10447,0.63962,1.02986,0.90736,0.76841,0.86487,0.58502,1.03671,0.59574,1.03286,0.00073775,0.00073775,0.00073775
53,1964.88,1.09877,0.65067,1.03328,0.88927,0.76473,0.85767,0.57278,1.06845,0.60681,1.0486,0.000713,0.000713,0.000713
54,2002.64,1.10585,0.64202,1.0358,0.89873,0.76187,0.8564,0.56706,1.08858,0.61457,1.05195,0.00068825,0.00068825,0.00068825
55,2040.07,1.10652,0.64692,1.036,0.88912,0.77762,0.86446,0.58535,1.03392,0.60092,1.03143,0.0006635,0.0006635,0.0006635
56,2077.44,1.07943,0.63776,1.03193,0.88923,0.77291,0.86326,0.58136,1.05703,0.59543,1.0407,0.00063875,0.00063875,0.00063875
57,2114.89,1.08508,0.63255,1.03608,0.89879,0.76637,0.86631,0.59265,1.00676,0.58509,1.034,0.000614,0.000614,0.000614
58,2152.66,1.08504,0.62531,1.02285,0.88482,0.77864,0.86254,0.57725,1.05422,0.5993,1.04633,0.00058925,0.00058925,0.00058925
59,2190.04,1.08522,0.62901,1.02779,0.89331,0.77332,0.86076,0.57705,1.05029,0.59996,1.04764,0.0005645,0.0005645,0.0005645
60,2227.69,1.07777,0.61551,1.02522,0.90539,0.76746,0.86792,0.58926,1.03512,0.58532,1.03743,0.00053975,0.00053975,0.00053975
61,2265.47,1.07104,0.61617,1.02351,0.89235,0.78232,0.86864,0.59284,1.02999,0.58856,1.0278,0.000515,0.000515,0.000515
62,2303.24,1.08729,0.62279,1.0283,0.90058,0.75977,0.86051,0.57731,1.07147,0.59805,1.04622,0.00049025,0.00049025,0.00049025
63,2340.82,1.07844,0.6115,1.0182,0.89732,0.77332,0.86849,0.5894,1.04165,0.5845,1.04343,0.0004655,0.0004655,0.0004655
64,2378.57,1.08175,0.61192,1.01942,0.90958,0.77414,0.87464,0.59495,1.02092,0.57184,1.02867,0.00044075,0.00044075,0.00044075
65,2416.11,1.06816,0.61036,1.02026,0.89031,0.78372,0.86639,0.59025,1.02441,0.58848,1.03386,0.000416,0.000416,0.000416
66,2453.38,1.05084,0.60781,1.02339,0.90018,0.77852,0.86974,0.59477,1.02001,0.58591,1.02651,0.00039125,0.00039125,0.00039125
67,2490.81,1.06315,0.60139,1.01633,0.89922,0.78494,0.86731,0.58811,1.04501,0.57767,1.04048,0.0003665,0.0003665,0.0003665
68,2528.37,1.06565,0.61141,1.01698,0.89166,0.77782,0.86341,0.58413,1.04685,0.5894,1.04324,0.00034175,0.00034175,0.00034175
69,2565.56,1.05224,0.59867,1.01649,0.89477,0.78314,0.86829,0.58785,1.04499,0.57506,1.04106,0.000317,0.000317,0.000317
70,2603.15,1.06575,0.60057,1.00732,0.91159,0.77905,0.87495,0.60181,1.01641,0.56664,1.03525,0.00029225,0.00029225,0.00029225
71,2648.91,1.04704,0.59496,1.03617,0.903,0.78969,0.87982,0.60772,0.98711,0.55994,1.01767,0.0002675,0.0002675,0.0002675
72,2685.33,1.03304,0.5816,1.03417,0.89157,0.78723,0.87525,0.6003,1.00648,0.56662,1.02619,0.00024275,0.00024275,0.00024275
73,2722.27,1.02162,0.57405,1.02594,0.88983,0.79092,0.87509,0.59927,1.01379,0.56519,1.02804,0.000218,0.000218,0.000218
74,2759.35,1.01972,0.57022,1.02665,0.89232,0.79345,0.87747,0.60851,0.99133,0.54953,1.0209,0.00019325,0.00019325,0.00019325
75,2796,1.01823,0.57004,1.02613,0.89878,0.78519,0.87395,0.60351,0.9982,0.55914,1.02463,0.0001685,0.0001685,0.0001685
76,2832.3,1.01538,0.56512,1.02524,0.90475,0.79284,0.87911,0.60506,1.00303,0.55309,1.02646,0.00014375,0.00014375,0.00014375
77,2869,1.01692,0.57005,1.02593,0.88409,0.78643,0.87077,0.59962,1.00874,0.56311,1.03095,0.000119,0.000119,0.000119
78,2905.32,1.01029,0.57222,1.02244,0.89476,0.79173,0.87619,0.60149,1.01471,0.55904,1.03178,9.425e-05,9.425e-05,9.425e-05
79,2941.52,1.00821,0.56217,1.01982,0.89585,0.79541,0.87624,0.60024,1.01364,0.55527,1.03113,6.95e-05,6.95e-05,6.95e-05
80,2978.31,0.99175,0.55311,1.01349,0.89514,0.79051,0.87582,0.60389,1.00471,0.55551,1.02669,4.475e-05,4.475e-05,4.475e-05
