epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1446,3.40446,7.04438,2.88525,0.50976,0.42928,0.40428,0.16629,2.17111,2.36911,1.77332,0.000663946,0.000663946,0.000663946
2,73.4635,2.04612,1.74693,1.54682,0.72387,0.50982,0.58089,0.29325,1.83682,1.60911,1.47649,0.0012867,0.0012867,0.0012867
3,108.431,1.79886,1.32199,1.36266,0.75597,0.51462,0.59002,0.29846,1.7051,1.29381,1.33598,0.00186546,0.00186546,0.00186546
4,144.456,1.65673,1.17137,1.28915,0.83194,0.58961,0.68714,0.38159,1.50292,1.11361,1.27572,0.001802,0.001802,0.001802
5,181.885,1.5985,1.08867,1.24532,0.77528,0.61405,0.6981,0.39254,1.4845,1.0736,1.21866,0.001736,0.001736,0.001736
6,220.53,1.53151,1.01959,1.19732,0.87174,0.63339,0.75021,0.44521,1.43483,0.92865,1.19229,0.00167,0.00167,0.00167
7,260.171,1.50689,0.99558,1.19793,0.81001,0.63953,0.74296,0.44642,1.38185,0.91062,1.17562,0.001604,0.001604,0.001604
